name,age,email
Person1,20,person1@example.com
Person2,21,person2@example.com
Person3,22,person3@example.com
Person4,23,person4@example.com
Person5,24,person5@example.com
Person6,25,person6@example.com
Person7,26,person7@example.com
Person8,27,person8@example.com
Person9,28,person9@example.com
Person10,29,person10@example.com
Person11,30,person11@example.com
Person12,31,person12@example.com
Person13,32,person13@example.com
Person14,33,person14@example.com
Person15,34,person15@example.com
Person16,35,person16@example.com
Person17,36,person17@example.com
Person18,37,person18@example.com
Person19,38,person19@example.com
Person20,39,person20@example.com
Person21,40,person21@example.com
Person22,41,person22@example.com
Person23,42,person23@example.com
Person24,43,person24@example.com
Person25,44,person25@example.com
Person26,45,person26@example.com
Person27,46,person27@example.com
Person28,47,person28@example.com
Person29,48,person29@example.com
Person30,49,person30@example.com
Person31,50,person31@example.com
Person32,51,person32@example.com
Person33,52,person33@example.com
Person34,53,person34@example.com
Person35,54,person35@example.com
Person36,55,person36@example.com
Person37,56,person37@example.com
Person38,57,person38@example.com
Person39,58,person39@example.com
Person40,59,person40@example.com
Person41,60,person41@example.com
Person42,61,person42@example.com
Person43,62,person43@example.com
Person44,63,person44@example.com
Person45,64,person45@example.com
Person46,65,person46@example.com
Person47,66,person47@example.com
Person48,67,person48@example.com
Person49,68,person49@example.com
Person50,69,person50@example.com
Person51,70,person51@example.com
Person52,71,person52@example.com
Person53,72,person53@example.com
Person54,73,person54@example.com
Person55,74,person55@example.com
Person56,75,person56@example.com
Person57,76,person57@example.com
Person58,77,person58@example.com
Person59,78,person59@example.com
Person60,79,person60@example.com
Person61,80,person61@example.com
Person62,81,person62@example.com
Person63,82,person63@example.com
Person64,83,person64@example.com
Person65,84,person65@example.com
Person66,85,person66@example.com
Person67,86,person67@example.com
Person68,87,person68@example.com
Person69,88,person69@example.com
Person70,89,person70@example.com
Person71,90,person71@example.com
Person72,91,person72@example.com
Person73,92,person73@example.com
Person74,93,person74@example.com
Person75,94,person75@example.com
Person76,95,person76@example.com
Person77,96,person77@example.com
Person78,97,person78@example.com
Person79,98,person79@example.com
Person80,99,person80@example.com
Person81,100,person81@example.com
Person82,101,person82@example.com
Person83,102,person83@example.com
Person84,103,person84@example.com
Person85,104,person85@example.com
Person86,105,person86@example.com
Person87,35,not-an-email
Person88,107,person88@example.com
Person89,108,person89@example.com
Person90,109,person90@example.com
Person91,110,person91@example.com
Person92,111,person92@example.com
Person93,112,person93@example.com
Person94,113,person94@example.com
Person95,114,person95@example.com
Person96,115,person96@example.com
Person97,116,person97@example.com
Person98,117,person98@example.com
Person99,old,person99@example.com
Person100,119,person100@example.com
